studentId,classId,decision,reason,status,termStart,termEnd,documentId
4VWCK6JsQfKc01fwmzYw,bfKk4jq9TBB9vlnB4TjH,exclude,EXISTING_ENROLLMENT,,,,
4Zlq6kanDXcoZG8PlMJt,xfrcmqXG5Eq8k0HsK7ip,exclude,EXISTING_ENROLLMENT,,,,
4ZOnT3blyNc7Xp40frj6,vNK2ADOv5VCXhP3Q2sOg,exclude,EXISTING_ENROLLMENT,,,,
4zrjwl0BmCiwpPEa8qE2,KrranixViHUAu0AGnohg,exclude,EXISTING_ENROLLMENT,,,,
55OuJNC46KVVPhK7zNo5,fLTQJCJuhG9JhJZBJxYb,exclude,EXISTING_ENROLLMENT,,,,
5g9pL8su6oTJPP8b9aPu,ScflKHWUpRh4aVD7zCXr,exclude,EXISTING_ENROLLMENT,,,,
5LTWWEdCEbECG1WFb1Gh,NQ1K3m1shKBZJSVegPme,exclude,EXISTING_ENROLLMENT,,,,
5mSP1ErrDILWT5dJ1Wzr,bfKk4jq9TBB9vlnB4TjH,exclude,EXISTING_ENROLLMENT,,,,
5N6iIBkAbBs1G4GvI1BU,2GIu9f1T94IoMFu7F6Ye,exclude,NON_CURRENT_STATUS,,,,
5rffxIYNu35fguR12cU5,mxZlZe2CtUrOvjYhuwvi,exclude,EXISTING_ENROLLMENT,,,,
5rMA7XnWjzg86WWfn628,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
5XA1G6yd2epMIadEAzZc,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
5yEU1FnVHE7YQOZWm9So,7Fxj71SvCY5SSGACTZ8C,exclude,EXISTING_ENROLLMENT,,,,
62uJX1WROrqjSyjjby1I,8gRFsTVLErsXTi2DbRyD,exclude,EXISTING_ENROLLMENT,,,,
6Clv6uLDmTtEtUSXOffB,MbEjkY4bZPvUt9ykRpPu,exclude,EXISTING_ENROLLMENT,,,,
6epSm5E1gOZMco2nqhte,Um5Y3hbveKaxYP2DdM05,exclude,EXISTING_ENROLLMENT,,,,
6JjZgRq7m8lrC55gqLLo,ERCRTO9edy422YC37xiy,exclude,EXISTING_ENROLLMENT,,,,
6L1bkGMikDsNzWt07vSP,6GmA0pfCfbyeUmHYcT2D,exclude,NON_CURRENT_STATUS,,,,
6mR5Q0Eioe9Xb4XkheV5,AnxnD92cSGEYTMqhNFw5,exclude,EXISTING_ENROLLMENT,,,,
6QBY4mOjJvXAuq0F14T9,XXTe0dcLydenBbhXkIHF,exclude,EXISTING_ENROLLMENT,,,,
6t7ZYYQW67omwe9uePSB,KrranixViHUAu0AGnohg,exclude,EXISTING_ENROLLMENT,,,,
6udByP6VWLVjjEP3Vc5v,PVSYXAXaSz9rqGa5MFFw,exclude,EXISTING_ENROLLMENT,,,,
6v0v25C3GmZWt6EeHnpP,71GVOT1409eW8tTLpPuE,exclude,EXISTING_ENROLLMENT,,,,
6YPUMQNPR55GstW7sXtU,YEGhVcj27boYOrEf2iSE,exclude,NON_CURRENT_STATUS,,,,
70tZE5Q6fLHvOWeRq8CI,DPZ0ENoAC52canMi03Dr,exclude,EXISTING_ENROLLMENT,,,,
74drlA8gP91rNyfQQ77Y,aoaDsr3lgBvSj211VCkJ,exclude,EXISTING_ENROLLMENT,,,,
75bstvOMKvxaUDx5RLgI,VWLk5yClGPg6muM1vBXa,exclude,EXISTING_ENROLLMENT,,,,
7aqIXfv2MgoyKAO8PQWK,tGtoavV6esqgyuTMKVUf,exclude,EXISTING_ENROLLMENT,,,,
7iBEDKZA69FEDZR3wX6N,Z8oeO9IN5H3lsV6IOAoH,exclude,NON_CURRENT_STATUS,,,,
7kImoy6B0B5frTLG4d2v,FigsTfwBAQzGlLBxfU2u,exclude,EXISTING_ENROLLMENT,,,,
7KQIbDC9FhJrkg3E1OkO,eIcP0Zb20aitPkMA9uFs,exclude,EXISTING_ENROLLMENT,,,,
7PNAFCY0OIfProO7VZx2,XXTe0dcLydenBbhXkIHF,exclude,EXISTING_ENROLLMENT,,,,
7rqiJZKI7fjUNw0MGH59,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
7Wwyfnpw0QO6Bpz7y0Bq,pAKl7xpSLd1atr3eRofo,exclude,EXISTING_ENROLLMENT,,,,
7x7vizcjl8ObOwP2PwPW,KrranixViHUAu0AGnohg,exclude,EXISTING_ENROLLMENT,,,,
803l1jPS99rsUh2IwaRY,dIEGKNxQyAS4uRtQmnPq,exclude,EXISTING_ENROLLMENT,,,,
8aS0jUEsj8yxyikUe2l1,YEGhVcj27boYOrEf2iSE,exclude,NON_CURRENT_STATUS,,,,
8nMqbR9evx45BKPyhNyt,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
8s9jXxZkSdATt5Ezizor,FigsTfwBAQzGlLBxfU2u,exclude,EXISTING_ENROLLMENT,,,,
8uXRfax2RNVq3v0HI6JT,tGtoavV6esqgyuTMKVUf,exclude,EXISTING_ENROLLMENT,,,,
8V24p7VrP4T83OFCsiY8,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
8zPcqAKCUmRCa4eYupwV,vNK2ADOv5VCXhP3Q2sOg,exclude,EXISTING_ENROLLMENT,,,,
8ZuVRPEnOqrB7vy4t0J3,lmCjwxAFU0oXzXSBdjW8,exclude,EXISTING_ENROLLMENT,,,,
915AQlI2Rm7ixbqteK87,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
95xZaZl0O3iN2LHuWIwe,ERCRTO9edy422YC37xiy,exclude,EXISTING_ENROLLMENT,,,,
98AUfOHpY7fN4fxMP1HN,waoUqyi2aZ00NKgIcbIf,exclude,NON_CURRENT_STATUS,,,,
9D2F90nbAams2qSky8vm,ERCRTO9edy422YC37xiy,exclude,EXISTING_ENROLLMENT,,,,
9gxClCJ84hL9oeMDuMEQ,tGtoavV6esqgyuTMKVUf,exclude,EXISTING_ENROLLMENT,,,,
9qGXuzuIN2aNUIfh7FOb,eIcP0Zb20aitPkMA9uFs,exclude,EXISTING_ENROLLMENT,,,,
9sUfWp5CuOPDIl4XFu6c,bfKk4jq9TBB9vlnB4TjH,exclude,EXISTING_ENROLLMENT,,,,
9WlloV2zlsZcaGS2kSTe,bfKk4jq9TBB9vlnB4TjH,exclude,EXISTING_ENROLLMENT,,,,
9WsOLaUELrrAmjhBMmyR,waoUqyi2aZ00NKgIcbIf,exclude,NON_CURRENT_STATUS,,,,
9xTFsyU1dZ17xrrT3R6v,MbEjkY4bZPvUt9ykRpPu,exclude,EXISTING_ENROLLMENT,,,,
9YcQq50qNUxxCXCUyNoE,XXTe0dcLydenBbhXkIHF,exclude,EXISTING_ENROLLMENT,,,,
A2EJWXSdfou0gupurFkL,XXTe0dcLydenBbhXkIHF,exclude,EXISTING_ENROLLMENT,,,,
a9UrWWRC91wAZiQld44S,WqLGvTj9Kft3C69PU08V,exclude,EXISTING_ENROLLMENT,,,,
aAfWpSjjdyZmrKVhSMti,IwMxdsVsT7l8U1pNXWzM,exclude,EXISTING_ENROLLMENT,,,,
AAGAgn0PlMU4gdTp1KzY,ERCRTO9edy422YC37xiy,exclude,NON_CURRENT_STATUS,,,,
aclIR20ybw8mKhu4wZpu,pAKl7xpSLd1atr3eRofo,exclude,EXISTING_ENROLLMENT,,,,
aDE1efiPJvFRZuEA3vAF,tGtoavV6esqgyuTMKVUf,exclude,EXISTING_ENROLLMENT,,,,
AiYX30mvzv01n3JLQPzV,AnxnD92cSGEYTMqhNFw5,exclude,EXISTING_ENROLLMENT,,,,
AJgnw9xnYI9cf7JWoeXb,2GIu9f1T94IoMFu7F6Ye,exclude,NON_CURRENT_STATUS,,,,
AkzVu4e3uSMZQO6jWgNG,b6GS6Dg5npzK3y2iRpbs,exclude,NON_CURRENT_STATUS,,,,
alNs971kR22ENZjoBc05,mxZlZe2CtUrOvjYhuwvi,exclude,EXISTING_ENROLLMENT,,,,
am3DeCyS4zFLlzHIH8H1,AnxnD92cSGEYTMqhNFw5,exclude,EXISTING_ENROLLMENT,,,,
anBJsoKnQ54EIVoP7Apf,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
AP9RP6pCGJxUpasM9sJ8,eHaGs0lAu2GqMWW2i19N,exclude,NON_CURRENT_STATUS,,,,
aPmcQseIVBDVN6Fs9gjW,KrranixViHUAu0AGnohg,exclude,EXISTING_ENROLLMENT,,,,
aqHkOvXCvZ9JbBE9aaBX,ScflKHWUpRh4aVD7zCXr,exclude,EXISTING_ENROLLMENT,,,,
aqMYtC3GOJPxj650mScT,VWLk5yClGPg6muM1vBXa,exclude,EXISTING_ENROLLMENT,,,,
AqzNUbr0qhnho0lUypBt,7Fxj71SvCY5SSGACTZ8C,exclude,EXISTING_ENROLLMENT,,,,
Ar2rtkqxYZCW1b3l9lGD,187uCU8mzdnrWpziZrDe,exclude,EXISTING_ENROLLMENT,,,,
aRv9tm2coQa22PI8i5wr,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
AZuOa87UkncpcFSgVcam,NQ1K3m1shKBZJSVegPme,exclude,EXISTING_ENROLLMENT,,,,
b4p7vsLRDyMcvRer8ge5,tGtoavV6esqgyuTMKVUf,exclude,EXISTING_ENROLLMENT,,,,
B62GXI7wZyrDeuUqyTPI,71GVOT1409eW8tTLpPuE,exclude,EXISTING_ENROLLMENT,,,,
b82dHKCHlEEXrooAxHV0,WqLGvTj9Kft3C69PU08V,exclude,EXISTING_ENROLLMENT,,,,
b9C4QhZ1h7qQEFp8ChId,187uCU8mzdnrWpziZrDe,exclude,EXISTING_ENROLLMENT,,,,
BBliUhAykP6gL0YDtYp4,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
bC3N8ZgEpwMUgBlgiEPw,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
bCvdR8tMIEBJPhD1bsjz,ERCRTO9edy422YC37xiy,exclude,EXISTING_ENROLLMENT,,,,
BDLvoGlI3fJYk75sdekK,NQ1K3m1shKBZJSVegPme,exclude,EXISTING_ENROLLMENT,,,,
BEyTgzSdq1JSAV9XDnNG,WqLGvTj9Kft3C69PU08V,exclude,EXISTING_ENROLLMENT,,,,
BFJVpvI1PQhBbIRwREcH,AnxnD92cSGEYTMqhNFw5,exclude,NON_CURRENT_STATUS,,,,
BFODDM9lUqscBzSjgFho,waoUqyi2aZ00NKgIcbIf,exclude,NON_CURRENT_STATUS,,,,
BGInNRNarPjAggsedtH6,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
bGW4yEuhslIPrCC1U5hf,bfKk4jq9TBB9vlnB4TjH,exclude,EXISTING_ENROLLMENT,,,,
Bifj6U7m6JJCMvKVjT18,AnxnD92cSGEYTMqhNFw5,exclude,EXISTING_ENROLLMENT,,,,
bivezj8uY40U4aGPaEr3,YEGhVcj27boYOrEf2iSE,exclude,NON_CURRENT_STATUS,,,,
Bl9RS6n7aRZuuAYMLUil,DRjcUgJIng8OdUMVof8X,exclude,EXISTING_ENROLLMENT,,,,
BnSqXgBxpjXSASskzHlY,lmCjwxAFU0oXzXSBdjW8,exclude,EXISTING_ENROLLMENT,,,,
