studentId,classId,decision,reason,status,termStart,termEnd,documentId
2j0urrJAqxJ4p5aRQ531,pAKl7xpSLd1atr3eRofo,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-23,2026-08-13,WyIyajB1cnJKQXF4SjRwNWFSUTUzMSIsInBBS2w3eHBTTGQxYXRyM2VSb2ZvIiwiMjAyNi0wNi0yMyJd
2upeFRFP2omi2uPJ4gKg,tY5PIISvWwaH4ZL7qGHX,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-13,2026-08-02,WyIydXBlRlJGUDJvbWkydVBKNGdLZyIsInRZNVBJSVN2V3dhSDRaTDdxR0hYIiwiMjAyNi0wNi0xMyJd
2uPuOEXP2aoluouGxfms,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
2xKpPYscvOhgibZg6Ttv,8gRFsTVLErsXTi2DbRyD,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-28,2026-08-22,WyIyeEtwUFlzY3ZPaGdpYlpnNlR0diIsIjhnUkZzVFZMRXJzWFRpMkRiUnlEIiwiMjAyNi0wNi0yOCJd
32mavMdqalC12Zx7NaCM,tY5PIISvWwaH4ZL7qGHX,create,SAFE_CURRENT_ENROLLMENT,on_leave,2026-06-13,2026-08-02,WyIzMm1hdk1kcWFsQzEyWng3TmFDTSIsInRZNVBJSVN2V3dhSDRaTDdxR0hYIiwiMjAyNi0wNi0xMyJd
33PMF0IyFb9iO3sO5Taa,DRjcUgJIng8OdUMVof8X,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyIzM1BNRjBJeUZiOWlPM3NPNVRhYSIsIkRSamNVZ0pJbmc4T2RVTVZvZjhYIiwiMjAyNi0wNy0xMSJd
3cpU8EdbAdwyE98mBBnN,PVSYXAXaSz9rqGa5MFFw,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-15,2026-09-09,WyIzY3BVOEVkYkFkd3lFOThtQkJuTiIsIlBWU1lYQVhhU3o5cnFHYTVNRkZ3IiwiMjAyNi0wNy0xNSJd
3mAsJ3pZRjeIjLAVrnUD,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
3md7dnJ3tH3H9HnoweFl,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
3PYoRbI0eHjTBoHqXVf4,lYMDImfr5T7qBTEXcmSW,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-12,2026-08-31,WyIzUFlvUmJJMGVIalRCb0hxWFZmNCIsImxZTURJbWZyNVQ3cUJURVhjbVNXIiwiMjAyNi0wNy0xMiJd
3TBOw4zYpfFekWXNkKHL,7Fxj71SvCY5SSGACTZ8C,exclude,EXISTING_ENROLLMENT,,,,
3tSAPzEK49EjbsZaNjZ1,vNK2ADOv5VCXhP3Q2sOg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-16,2026-09-08,WyIzdFNBUHpFSzQ5RWpic1phTmpaMSIsInZOSzJBRE92NVZDWGhQM1Eyc09nIiwiMjAyNi0wNy0xNiJd
3YokjR5BFAqFNkW9mPsZ,mxZlZe2CtUrOvjYhuwvi,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-22,2026-08-16,WyIzWW9ralI1QkZBcUZOa1c5bVBzWiIsIm14WmxaZTJDdFVyT3ZqWWh1d3ZpIiwiMjAyNi0wNi0yMiJd
3YRndBoON7XRkFRkgbRp,6GmA0pfCfbyeUmHYcT2D,exclude,NON_CURRENT_STATUS,,,,
3z1ctWbB8zoxUiK4Pxuh,WqLGvTj9Kft3C69PU08V,exclude,ENDED_CLASS,,,,
40LuzdSymM5Tb4bjJBj0,XXTe0dcLydenBbhXkIHF,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-20,2026-08-09,WyI0MEx1emRTeW1NNVRiNGJqSkJqMCIsIlhYVGUwZGNMeWRlbkJiaFhrSUhGIiwiMjAyNi0wNi0yMCJd
42DjKQ0LRk4UQvmlC4rp,b6GS6Dg5npzK3y2iRpbs,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-02,2026-08-25,WyI0MkRqS1EwTFJrNFVRdm1sQzRycCIsImI2R1M2RGc1bnB6SzN5MmlScGJzIiwiMjAyNi0wNy0wMiJd
4fG3hlMzvMXac00bPI8B,vNK2ADOv5VCXhP3Q2sOg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-16,2026-09-08,WyI0ZkczaGxNenZNWGFjMDBiUEk4QiIsInZOSzJBRE92NVZDWGhQM1Eyc09nIiwiMjAyNi0wNy0xNiJd
4KBR1IX2JgBZtjD5Moja,NQ1K3m1shKBZJSVegPme,exclude,EXISTING_ENROLLMENT,,,,
4N5A5h40eawu31Yudlr9,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
4OatL1rIV5JFexfvuVDV,fLTQJCJuhG9JhJZBJxYb,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-06,2026-08-26,WyI0T2F0TDFySVY1SkZleGZ2dVZEViIsImZMVFFKQ0p1aEc5SmhKWkJKeFliIiwiMjAyNi0wNy0wNiJd
4pRIwCWz27kwJ7HZsfNV,71GVOT1409eW8tTLpPuE,exclude,EXISTING_ENROLLMENT,,,,
4Q7ytxRLwb1WvLbTYlVJ,bfKk4jq9TBB9vlnB4TjH,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-10,2026-09-04,WyI0UTd5dHhSTHdiMVd2TGJUWWxWSiIsImJmS2s0anE5VEJCOXZsbkI0VGpIIiwiMjAyNi0wNy0xMCJd
4SKkHUCH6a5RgUVnu5LO,71GVOT1409eW8tTLpPuE,exclude,EXISTING_ENROLLMENT,,,,
4VWCK6JsQfKc01fwmzYw,bfKk4jq9TBB9vlnB4TjH,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-10,2026-09-04,WyI0VldDSzZKc1FmS2MwMWZ3bXpZdyIsImJmS2s0anE5VEJCOXZsbkI0VGpIIiwiMjAyNi0wNy0xMCJd
4Zlq6kanDXcoZG8PlMJt,xfrcmqXG5Eq8k0HsK7ip,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-24,2026-09-12,WyI0WmxxNmthbkRYY29aRzhQbE1KdCIsInhmcmNtcVhHNUVxOGswSHNLN2lwIiwiMjAyNi0wNy0yNCJd
4ZOnT3blyNc7Xp40frj6,vNK2ADOv5VCXhP3Q2sOg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-16,2026-09-08,WyI0Wk9uVDNibHlOYzdYcDQwZnJqNiIsInZOSzJBRE92NVZDWGhQM1Eyc09nIiwiMjAyNi0wNy0xNiJd
